ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
23894.7 3118.8 36460.0 38390.2 12402.7 3762.7 31002.8 52227.2   
23962.0 3208.7 36520.5 39073.9 12471.3 3636.6 31071.3 53235.4   
23984.9 3222.4 36541.5 39611.7 12487.0 3523.5 31088.6 54470.9   
23927.4 3093.4 36484.3 39193.7 12415.4 3621.8 31021.4 54138.5   
23876.4 3005.9 36438.7 38399.9 12366.3 3818.6 30970.6 52674.3   
23902.0 3106.4 36468.4 38365.6 12405.2 3771.4 31005.7 52209.6   
23964.9 3196.0 36527.5 39038.5 12472.4 3648.0 31071.1 53176.0   
23986.5 3219.8 36545.3 39609.0 12486.7 3531.9 31086.2 54442.0   
23925.2 3098.0 36483.5 39226.1 12410.5 3622.3 31014.4 54176.6   
23865.8 3011.9 36429.5 38421.3 12353.0 3823.5 30958.2 52711.3   
23890.1 3110.9 36460.3 38355.7 12394.6 3783.0 30996.8 52190.2   
23953.1 3204.6 36516.1 39016.1 12461.3 3655.0 31062.7 53118.2   
23980.1 3230.6 36539.4 39612.0 12483.7 3532.1 31085.4 54412.3   
23926.3 3109.3 36484.6 39261.8 12415.7 3612.1 31020.6 54219.0   
23864.2 3016.4 36428.7 38443.9 12352.2 3815.6 30958.2 52760.7   
23882.8 3111.8 36454.3 38342.7 12384.6 3784.9 30990.9 52181.6   
23947.7 3204.9 36514.3 38988.5 12453.8 3659.9 31057.8 53066.9   
23981.4 3231.6 36544.8 39604.9 12484.3 3536.2 31087.8 54382.3   
23927.7 3115.0 36488.6 39288.5 12415.7 3607.2 31023.0 54256.2   
23866.1 3013.7 36433.0 38463.9 12352.2 3812.7 30962.0 52807.7   
23880.4 3107.4 36454.9 38330.3 12379.8 3791.1 30988.7 52173.4   
23946.3 3201.7 36517.2 38956.9 12451.9 3666.3 31058.4 53015.0   
23979.5 3234.3 36546.7 39595.2 12480.5 3541.1 31086.2 54347.8   
23929.6 3120.4 36495.1 39313.4 12416.5 3605.0 31024.3 54289.2   
23869.6 3011.9 36438.1 38481.8 12354.9 3813.2 30965.8 52854.9   
23885.6 3096.4 36460.3 38311.4 12386.8 3802.9 30995.7 52164.3   
23952.2 3193.6 36520.5 38920.0 12460.0 3677.7 31065.9 52959.7   
23987.1 3231.1 36554.2 39575.2 12489.9 3550.0 31097.0 54305.9   
23936.8 3124.4 36503.7 39330.6 12423.8 3603.4 31034.6 54314.6   
23870.2 3014.6 36440.0 38503.9 12354.7 3810.5 30965.2 52902.4   
23881.2 3099.1 36458.1 38302.5 12383.3 3806.7 30991.4 52162.6   
23947.4 3194.6 36518.6 38889.4 12454.3 3681.2 31060.5 52912.4   
23985.7 3234.6 36553.9 39563.9 12488.8 3551.0 31096.2 54272.4   
23939.6 3129.8 36506.2 39362.2 12427.8 3593.4 31036.8 54354.2   
23873.4 3015.1 36443.0 38532.2 12357.6 3798.9 30968.5 52963.2   
23881.8 3090.1 36458.1 38292.8 12383.5 3807.8 30992.2 52169.4   
23945.2 3190.1 36516.4 38854.9 12451.6 3685.0 31058.9 52868.7   
23978.2 3239.7 36547.7 39544.7 12479.7 3552.9 31088.9 54230.0   
23935.8 3141.4 36504.3 39386.2 12425.1 3589.6 31036.0 54377.2   
23866.1 3025.1 36438.4 38566.0 12351.7 3797.0 30963.9 53012.3   
23871.8 3096.9 36448.4 38294.6 12371.7 3814.3 30981.4 52169.7   
23935.0 3198.1 36504.3 38830.1 12438.6 3692.2 31047.6 52819.3   
23980.3 3245.7 36546.4 39526.4 12482.6 3561.0 31092.4 54187.6   
23938.5 3152.2 36504.3 39403.8 12427.0 3585.3 31040.3 54403.4   
23868.8 3028.6 36440.0 38592.2 12352.2 3791.9 30967.9 53065.8   
23873.4 3090.4 36452.4 38285.2 12373.8 3822.9 30985.7 52168.1   
23933.6 3192.8 36507.0 38797.6 12438.4 3700.6 31048.7 52765.8   
23974.1 3246.8 36544.8 39509.1 12475.1 3568.9 31086.2 54136.6   
23935.2 3161.7 36504.5 39427.3 12425.1 3585.3 31040.8 54420.9   
23864.2 3038.0 36436.2 38622.1 12347.9 3790.3 30964.4 53116.3   
23858.3 3097.2 36441.4 38286.5 12356.0 3830.2 30967.1 52169.1   
23915.0 3203.8 36495.4 38780.4 12418.9 3709.8 31027.9 52715.9   
23966.6 3256.2 36544.0 39501.0 12470.5 3576.7 31081.3 54092.3   
23937.4 3167.1 36511.6 39448.9 12427.8 3586.4 31042.2 54438.8   
23865.6 3039.9 36441.6 38650.8 12349.5 3787.8 30965.8 53163.5   
23862.3 3090.1 36448.1 38280.6 12362.0 3835.9 30975.8 52168.1   
23916.6 3196.5 36501.6 38749.1 12423.8 3711.4 31036.0 52669.4   
23969.0 3251.3 36550.4 39478.6 12475.9 3578.3 31088.1 54045.4   
23940.4 3171.7 36518.6 39467.0 12433.5 3577.8 31048.9 54459.0   
23870.2 3038.9 36451.6 38676.7 12356.5 3774.1 30974.1 53221.6   
23863.1 3081.0 36451.6 38272.5 12361.1 3835.1 30975.8 52176.7   
23920.7 3188.4 36508.3 38716.1 12424.6 3717.1 31036.0 52624.6   
23977.1 3244.1 36560.4 39450.8 12481.0 3583.7 31092.9 53999.7   
23943.3 3172.5 36523.7 39479.4 12434.8 3573.7 31050.0 54476.6   
23870.2 3039.9 36451.4 38705.3 12350.9 3769.2 30970.1 53275.6   
23853.4 3080.7 36444.3 38277.1 12348.2 3841.0 30962.5 52185.6   
23910.1 3190.6 36498.9 38695.6 12414.1 3723.6 31029.2 52582.2   
23969.5 3251.9 36551.2 39435.9 12475.3 3590.5 31091.3 53950.1   
23942.0 3187.1 36517.8 39501.0 12432.2 3571.0 31049.5 54491.9   
23864.8 3055.1 36441.6 38743.1 12344.4 3760.8 30963.1 53332.8   
23849.4 3085.6 36433.3 38279.2 12343.0 3842.1 30960.4 52198.3   
23902.0 3200.6 36483.2 38675.3 12406.0 3726.0 31022.7 52542.5   
23960.1 3269.7 36538.8 39439.4 12467.5 3582.6 31083.5 53930.1   
23940.6 3204.6 36513.2 39544.2 12432.4 3549.4 31051.1 54553.5   
23864.8 3060.2 36437.3 38782.8 12344.1 3746.0 30966.0 53414.1   
23843.4 3086.9 36425.4 38289.2 12333.9 3839.1 30953.1 52232.0   
23899.3 3202.7 36478.4 38654.6 12397.6 3724.1 31015.7 52521.5   
23958.7 3267.0 36532.9 39401.6 12458.6 3592.4 31074.3 53865.8   
23939.3 3211.4 36511.0 39534.8 12427.8 3558.6 31046.2 54524.3   
23865.3 3069.4 36437.6 38804.1 12343.0 3738.1 30964.7 53459.2   
23837.8 3089.3 36417.3 38284.4 12327.1 3838.3 30947.9 52246.1   
23891.8 3206.5 36467.3 38625.4 12390.8 3728.4 31010.6 52479.9   
23953.6 3274.0 36523.7 39380.6 12455.4 3599.1 31073.8 53808.6   
23934.4 3225.1 36505.6 39549.6 12424.3 3560.2 31046.2 54521.6   
23855.8 3085.6 36430.6 38839.0 12336.3 3732.5 30960.1 53508.6   
23831.6 3091.5 36411.4 38289.0 12323.1 3838.3 30945.2 52263.9   
23885.6 3206.8 36463.2 38602.4 12386.8 3729.0 31007.9 52442.4   
23946.0 3282.9 36517.8 39366.0 12448.9 3597.2 31070.0 53762.4   
23938.2 3240.0 36506.4 39584.2 12430.5 3537.8 31053.8 54564.8   
23865.6 3085.3 36433.3 38868.9 12346.8 3716.6 30971.7 53582.6   
23831.8 3079.9 36407.6 38267.4 12323.3 3856.1 30945.8 52252.0   
23875.8 3205.7 36453.8 38564.9 12375.7 3753.3 30994.9 52364.9   
23940.6 3289.9 36516.4 39350.3 12442.7 3604.2 31061.9 53701.6   
23934.7 3248.4 36508.3 39608.5 12426.2 3533.2 31049.7 54576.2   
23858.0 3094.7 36430.8 38908.1 12336.0 3709.5 30962.2 53640.6   
23827.2 3079.4 36407.1 38274.7 12313.1 3859.4 30939.0 52270.9   
23873.1 3202.7 36454.3 38543.9 12370.6 3762.7 30992.8 52326.5   
23940.6 3289.9 36517.0 39327.9 12443.0 3615.3 31064.8 53641.4   
23940.1 3255.7 36512.4 39615.8 12430.5 3535.1 31057.3 54569.7   
23861.8 3100.9 36434.3 38937.5 12338.5 3705.2 30968.2 53690.9   
23823.2 3079.1 36403.6 38280.6 12308.5 3865.9 30935.8 52290.9   
23873.7 3200.0 36455.1 38514.7 12369.8 3774.1 30995.5 52286.9   
23940.6 3287.2 36517.0 39297.1 12441.9 3627.2 31067.0 53578.8   
23940.6 3260.0 36513.2 39627.9 12432.2 3539.2 31058.9 54562.9   
23868.8 3104.2 36443.0 38968.8 12345.8 3703.1 30975.8 53743.0   
23826.7 3073.9 36407.9 38280.6 12308.8 3876.1 30937.4 52311.7   
23868.5 3197.9 36451.9 38489.0 12362.8 3787.6 30987.9 52250.1   
23944.1 3284.6 36522.9 39267.4 12442.7 3634.5 31067.8 53526.7   
23952.5 3258.4 36527.8 39633.8 12441.3 3532.7 31067.3 54574.0   
23875.8 3103.4 36451.1 38997.4 12350.6 3692.5 30980.1 53810.2   
23827.0 3060.4 36408.4 38267.1 12308.0 3890.4 30937.4 52315.7   
23861.2 3187.9 36446.5 38434.5 12356.8 3824.0 30984.4 52154.3   
23933.6 3290.5 36517.2 39239.1 12433.8 3658.8 31059.2 53431.4   
