ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
425.2 287.3 274.0 273.2 259.2 231.1 272.7 277.3   
458.7 287.5 274.6 273.8 259.2 231.9 272.2 276.8   
452.0 288.1 273.2 274.0 259.2 232.2 271.6 276.8   
410.1 289.4 273.2 274.0 259.5 231.9 272.4 276.8   
393.9 288.9 273.2 273.2 258.9 232.5 272.2 277.0   
426.3 288.6 273.5 274.0 258.1 232.2 272.4 276.5   
459.0 288.1 274.0 273.5 258.9 232.2 272.4 276.8   
451.7 288.1 274.0 274.0 258.4 231.4 272.7 277.3   
409.6 287.5 274.0 274.3 258.7 231.1 272.7 278.1   
393.9 288.1 274.0 274.0 259.2 231.7 273.0 278.1   
425.8 287.0 274.0 274.0 259.7 231.9 272.4 277.3   
458.7 287.8 273.8 273.2 259.7 231.9 272.4 276.8   
452.2 288.4 273.2 273.2 258.9 232.5 272.4 276.8   
409.6 287.5 273.8 273.5 258.9 232.7 272.2 277.6   
393.4 288.4 273.5 273.2 258.4 232.2 271.9 277.0   
425.2 288.4 273.5 274.0 257.9 231.7 271.9 277.3   
457.9 288.6 273.2 273.8 258.1 231.4 272.7 277.3   
450.4 288.1 273.2 273.2 258.4 231.9 272.7 277.3   
409.0 287.8 273.8 273.5 258.1 231.4 272.7 277.3   
393.9 288.1 273.2 273.2 258.7 232.2 272.2 277.3   
425.8 287.5 273.2 272.7 258.9 232.2 272.2 277.8   
457.6 288.4 273.8 273.5 259.2 232.2 272.7 277.3   
451.4 288.6 274.0 273.8 259.2 232.7 273.0 278.1   
410.1 288.6 273.8 273.8 259.2 231.9 272.7 278.1   
393.9 288.1 273.8 274.3 258.9 232.5 272.7 277.8   
425.2 288.4 274.0 273.5 258.1 232.2 272.7 277.3   
458.5 288.1 273.5 273.8 258.7 231.9 271.6 277.8   
451.4 288.4 273.2 273.2 258.9 231.9 271.9 276.8   
409.0 288.4 273.2 273.5 259.2 231.9 271.1 276.8   
393.9 288.6 273.8 273.2 258.9 232.2 272.4 277.3   
425.2 287.8 273.8 274.0 258.9 231.9 272.4 277.6   
458.2 288.4 274.0 273.5 258.9 232.2 271.9 277.6   
450.9 288.9 274.3 273.2 258.7 232.5 271.6 277.6   
409.0 288.1 274.3 273.8 258.9 231.7 272.7 277.6   
394.5 288.6 274.0 273.8 258.7 231.1 272.7 277.3   
426.1 288.6 273.8 274.0 258.9 233.0 272.7 277.3   
458.5 288.6 273.8 273.8 259.2 232.7 272.7 277.3   
452.0 288.9 274.3 272.7 258.4 232.7 271.9 277.6   
409.0 288.9 273.8 273.5 257.9 233.3 271.9 277.0   
393.4 288.6 273.2 273.8 258.4 232.2 272.4 276.2   
425.8 288.6 273.2 273.8 258.4 232.2 273.2 277.3   
458.5 288.6 273.5 273.2 258.9 232.2 273.0 277.6   
451.4 288.6 274.0 273.2 258.7 232.7 271.9 277.0   
410.1 288.6 273.8 273.8 258.1 231.7 271.9 278.1   
394.7 288.4 273.8 273.2 258.4 231.9 271.4 277.8   
426.1 287.8 273.5 273.5 259.7 232.2 271.4 278.1   
458.5 288.1 274.0 272.7 258.4 231.9 272.2 277.3   
452.0 288.6 273.0 273.8 258.4 231.7 272.4 278.1   
409.9 288.4 273.0 274.0 258.9 232.2 272.4 278.1   
393.7 287.8 273.2 273.5 258.4 232.7 272.7 277.0   
425.8 288.6 273.8 273.5 258.9 233.3 273.0 276.5   
458.2 288.6 273.2 273.5 258.7 232.5 273.0 276.5   
450.6 287.5 274.0 273.2 259.2 232.5 272.4 277.3   
409.6 288.1 274.0 273.2 258.9 232.5 272.4 277.3   
393.7 288.9 273.2 274.0 258.9 232.7 271.9 277.3   
425.2 288.4 273.2 273.5 260.3 232.7 272.7 277.6   
457.6 288.1 273.5 273.2 258.4 232.7 272.7 277.6   
450.6 288.6 274.0 273.5 258.1 231.7 272.2 276.5   
409.9 288.6 272.7 273.8 258.4 231.4 272.4 275.9   
394.2 288.6 273.0 273.8 259.2 231.9 272.7 277.3   
425.0 287.5 273.8 273.8 258.9 232.2 272.7 277.6   
457.6 288.1 273.2 273.8 258.9 233.0 272.4 276.5   
451.7 288.6 273.2 273.2 258.4 232.7 272.7 277.0   
410.4 288.1 273.8 272.7 259.7 231.4 272.4 277.3   
394.7 288.6 273.8 272.4 258.4 231.9 271.9 276.8   
426.3 288.1 272.7 272.7 258.7 231.9 271.9 277.3   
458.7 288.6 273.5 272.7 259.5 231.9 272.4 277.3   
451.2 288.1 273.5 272.7 259.5 232.2 273.0 276.5   
410.4 288.6 273.0 273.2 259.2 231.4 272.7 277.6   
394.7 287.5 273.2 273.8 259.5 232.2 272.4 277.8   
425.2 287.0 273.5 273.2 259.2 232.5 272.7 277.3   
458.5 287.8 273.2 273.8 258.7 231.4 272.7 276.8   
451.7 288.9 273.8 274.0 258.4 231.9 273.2 277.3   
409.6 288.4 273.8 273.2 258.4 231.4 272.7 277.8   
394.5 288.6 273.2 273.8 257.9 231.7 272.7 276.8   
425.5 288.6 273.5 273.8 258.9 232.7 271.9 276.8   
458.2 288.1 273.2 273.8 258.1 232.7 271.6 277.0   
452.0 288.4 273.2 273.0 258.4 231.9 272.7 276.8   
410.7 288.4 273.2 274.0 258.4 231.7 272.7 277.6   
393.9 287.5 273.2 274.0 258.1 231.9 272.4 278.1   
425.8 287.3 272.4 274.0 258.4 231.9 272.2 277.3   
458.7 287.8 272.4 273.8 258.4 232.2 271.9 277.0   
452.2 288.1 272.4 273.8 258.9 232.2 272.2 276.8   
